Word,Term Frequency
clustering,0.03456221198156682
hopfield,0.030721966205837174
network,0.020737327188940093
document,0.019969278033794162
text,0.019201228878648235
cluster,0.018433179723502304
matrix,0.016129032258064516
algorithm,0.015360983102918587
distance,0.010752688172043012
eg,0.009984639016897081
table,0.009216589861751152
documents,0.009216589861751152
means,0.009216589861751152
number,0.008448540706605223
sum,0.007680491551459293
intra,0.0069124423963133645
clusters,0.0069124423963133645
different,0.0069124423963133645
case,0.006144393241167435
metrics,0.006144393241167435
evaluation,0.006144393241167435
show,0.005376344086021506
discrete,0.005376344086021506
data,0.005376344086021506
time,0.005376344086021506
fbis,0.004608294930875576
similarity,0.004608294930875576
random,0.004608294930875576
ments,0.004608294930875576
wap,0.004608294930875576
performance,0.004608294930875576
information,0.004608294930875576
one,0.004608294930875576
class,0.004608294930875576
equal,0.004608294930875576
ing,0.004608294930875576
use,0.004608294930875576
algorithms,0.004608294930875576
doc,0.0038402457757296467
several,0.0038402457757296467
laplacian,0.0038402457757296467
graph,0.0038402457757296467
entropy,0.0038402457757296467
distances,0.0038402457757296467
nmi,0.0038402457757296467
rate,0.0038402457757296467
used,0.0038402457757296467
classes,0.0038402457757296467
rand,0.0038402457757296467
follows,0.0038402457757296467
